ts_index,periodicity,trend_score,seasonality_score,nonlinearity,skew,kurtosis,hurst,lyapunov
0,13.0,-0.09458871797873813,-7.3721893227585085,1.012292445227153,0.01026336588489285,-0.8574325877363838,0.2538206747716621,0.00112631112450414
1,13.0,-0.8771062606450082,-0.7830965885746419,1.4055875046551427,0.30562841954474673,3.241007083097923,0.27550372564807313,-0.004005408003468817
2,37.0,-0.681275623189898,-0.1188873743717378,0.8346945714541631,0.10573025171259477,0.02568215670084051,0.18656126375023369,0.001063620413918469
3,37.0,-0.24094754788900352,-1.7541477185352146,1.2640575179952886,-0.08988078274981848,0.056199622505704205,0.22010695334165692,0.00879902889045364
4,37.0,-0.08027365725813373,-7.117340967127342,0.83347723491931,-0.011411750416730197,-1.3066884314403084,0.28750622274812127,0.0037830587190635146
5,13.0,-0.2994450824750885,-2.470557877834003,0.37413210982319617,0.09868207319653248,-0.7749474918087293,0.2241200698819968,0.006934311310154888
6,25.0,-0.3902970833873094,-2.1473387728950812,1.5861033967203972,-0.09866357688030214,-0.5386716752998444,0.2357525180813119,0.0027557926072461244
7,49.0,-0.10742781666608048,-9.007218430578375,2.537848278124254,-0.6619417347270525,-0.5886943271561167,0.26087876681692745,0.0008077804495986281
8,25.0,-1.21592843019753,-0.6748638190106804,1.0531766204652686,-0.08759075748060342,-0.34853146110222166,0.21005214857738685,0.004326531634352619
9,25.0,-0.41595426680596925,-2.0723329214853727,1.8044746664528182,0.06516659542102202,-0.40703881257293517,0.21315038538496833,0.0010966548904740767
10,37.0,-0.5228648284991546,-0.3262094050711055,1.0091526014699448,0.060526873402574885,-0.23411295185634273,0.20164781276425955,-0.0003176888679361569
11,49.0,-2.027651780560604,-0.34142305963181063,1.7539178537065383,-0.7343311174676791,2.212835664613154,0.24389166495730322,0.005083900523635532
12,25.0,-0.3369074612347034,-3.0849833576898575,2.4386907822653354,1.7618117550737755,3.585526480911673,0.28948467898749586,-0.0021633380157203745
13,49.0,-1.884820100821667,-0.4458717777792436,1.7263203214642373,0.013758810169458856,-0.16292451258798435,0.19035364946232056,0.0032038682897287435
14,25.0,-5.08330607531794,-0.16719579543180307,1.0085754338484494,-0.006097230581697932,1.4023849057238742,0.2103015879595485,0.008016173972524627
15,37.0,-0.166773690507533,-3.6300330097397966,1.0404254123958676,-0.14758703397565764,-1.0627102811026634,0.2024367635157698,0.0016280168053733487
16,37.0,-0.19355719141828365,-3.276489106519316,0.4919320840579022,0.16940484171726977,-1.3062570195906227,0.22915600967253005,-0.001528481305655401
17,13.0,-1.9070464628303627,-0.23072555593766153,1.0072954196215886,-0.025362442431854034,-0.7016755863583573,0.12439667020108958,0.028465248532672873
18,25.0,-2.20861250772348,-0.33499950004606216,2.595800099498142,0.31620532916424166,0.5356450449666772,0.21468544617730106,0.007115841627031394
19,25.0,-0.13395079751157835,-6.661145621442542,1.389357692016813,-0.013290319004669524,-0.903225563646703,0.2571844876334806,0.004295360114960449
20,13.0,-0.03152024434953793,-24.01730665226036,2.1494067390122678,-0.9851832539426415,-0.25711834521660526,0.4062898807200542,-0.0031849689864267366
21,25.0,-0.5647269187089221,-1.6956359537155925,2.1254278291683266,-0.6457241778361372,-0.11508617022104906,0.26995757756465266,0.0063564200150335705
22,25.0,-0.11670515763742251,-7.3675324153661865,0.8328390404843143,0.1933178105065481,-1.1360896292553135,0.3056261514646233,0.0023472712590145643
